sub_categoria;id_Categoria;nombre_categoria
Tuberias PVC;1;Agua
Tuberias PVC;2;Desague
Tuberias PVC;6;Luz
Tuberias y conexiones SEL;6;Luz
Tuberias y conexiones  SAP;6;Luz
Tuberias y conexiones SAP;6;Luz
Conexiones de Agua PVC;1;Agua
Conexiones PVC;2;Desague
Tuberias PVC;5;Agua Caliente
Tomacorrientes;6;Luz
Pegamentos Oatey;7;Pegamentos
Pegamentos;7;Pegamentos
Silicona;7;Pegamentos
Llaves de paso;1;Agua
Herramientas en general;3;Herramientas
Herramientas de corte;3;Herramientas
Llaves de cocina cisne;4;Griferia
Tableros;6;Luz
Cajas de luz;6;Luz
Productos Varios;44;Gasfiteria
Focos;6;Luz
Conexiones de Agua Galvanizado;1;Agua
Llaves termicas;6;Luz
Llaves con universal;1;Agua
Herramientas de Pintura;3;Herramientas
Check;1;Agua
Ca?os de jardin;4;Griferia
Desinfectantes;34;LIMPIEZA
Articulos para Duchas;4;Griferia
Trampas;2;Desague
Guantes;3;Herramientas
Lejias;34;LIMPIEZA
Ceras;34;LIMPIEZA
Teflones;1;Agua
Anillos de Cera;2;Desague
Ambientadores;34;LIMPIEZA
Acidos y Antioxidantes;34;LIMPIEZA
Difusor de ducha y manguera;4;Griferia
Escobas y recogedores;34;LIMPIEZA
Llaves de ducha;4;Griferia
Medidores;6;Luz
